name,address,neighborhood,lat,lng,type,price,goods,eras,nonprofit,buysell,hours,link,blurb,verified,notes
Tokio 7,83 E 7th St,East Village,40.7267,-73.9862,Consignment,3,Clothing|Accessories,1980s-90s|Y2K-2010s,no,Consignment,,,"Long-running designer consignment in a basement space; strong on Japanese labels and archive runway pieces.",no,
AuH2O Thriftique,84 E 7th St,East Village,40.7268,-73.9863,Thrift & charity,1,Clothing|Accessories,Mixed,no,Buys from public,,,"Tightly packed thrift-priced racks with a punk and party-dress bent. Owner-curated rather than donation-sorted.",no,
Village Style,111 E 7th St,East Village,40.7261,-73.9848,Vintage boutique,2,Clothing|Accessories,1960s-70s|1980s-90s,no,Sells only,,,"Dense basement vintage; denim, leather, band tees and workwear stacked to the ceiling.",no,
Trash and Vaudeville,96 E 7th St,East Village,40.7266,-73.9857,Vintage boutique,2,Clothing|Accessories,1970s-80s|Mixed,no,Sells only,,,"East Village punk institution since 1975. Mostly new reproduction rather than true vintage, but the reason half the block still dresses this way.",no,"Mostly new stock - included for context; flag if you want vintage-only"
Search & Destroy,25 St Marks Pl,East Village,40.7290,-73.9882,Vintage boutique,2,Clothing|Accessories,1970s-80s|1980s-90s,no,Sells only,,,"Studs, tartan, customized leather and secondhand punk on a wall of pinned-up stock.",no,
Metropolis Vintage,43 Third Ave,East Village,40.7300,-73.9885,Vintage boutique,2,Clothing|Accessories,1960s-70s|1980s-90s,no,Buys from public,,,"Broad general vintage: tees, western shirts, varsity jackets, sunglasses. A good first stop for orientation.",no,
Stock Vintage,143 E 13th St,East Village,40.7318,-73.9877,Archive & designer,3,Clothing|Accessories,Pre-1960s|1960s-70s,no,Sells only,,,"Serious American workwear and militaria; deadstock denim, chore coats and boots priced for collectors.",no,
Cure Thrift Shop,111 E 12th St,East Village,40.7318,-73.9888,Thrift & charity,1,Clothing|Housewares|Furniture|Books,Mixed,yes,Buys from public,,https://curethriftshop.com,"Nonprofit thrift benefiting diabetes research. Furniture, housewares and clothing under one roof - the most donation-driven shop on this map.",no,
Buffalo Exchange,332 E 11th St,East Village,40.7288,-73.9852,Consignment,2,Clothing|Accessories,1990s-Y2K|Y2K-2010s,no,Buys from public|Trade credit,,https://buffaloexchange.com,"Buy-sell-trade chain: bring a bag, get cash or store credit on the spot. The easiest place to divert your own clothes.",no,
Tokyo Joe,334 E 11th St,East Village,40.7288,-73.9851,Consignment,3,Clothing|Accessories,1990s-Y2K|Y2K-2010s,no,Consignment,,,"Designer consignment next door to Buffalo Exchange; steady rotation of contemporary labels at resale prices.",no,
Cobblestones,314 E 9th St,East Village,40.7279,-73.9857,Vintage boutique,2,Clothing|Jewelry|Accessories,Pre-1960s|1960s-70s,no,Sells only,,,"Small, crowded, and heavy on costume jewelry, beaded bags and earlier-decade pieces.",no,
Fabulous Fanny's,335 E 9th St,East Village,40.7278,-73.9855,Archive & designer,3,Eyewear|Accessories,Pre-1960s|1960s-70s|1980s-90s,no,Sells only,,,"Vintage and antique eyewear specialist - thousands of frames from the 1800s onward. Costume designers shop here.",no,
Mr. Throwback,437 E 9th St,East Village,40.7272,-73.9821,Vintage boutique,2,Clothing|Accessories,1990s-Y2K,no,Buys from public,,,"1990s sportswear: jerseys, starter jackets, snapbacks, basketball cards.",no,
No Relation Vintage,204 First Ave,East Village,40.7302,-73.9836,Vintage boutique,1,Clothing|Accessories,1980s-90s|1990s-Y2K,no,Sells only,,,"Part of the L Train Vintage family - high volume, thrift-adjacent pricing, organized by category rather than curated.",no,
Rue St. Denis,170 Avenue B,East Village,40.7278,-73.9787,Archive & designer,3,Clothing|Accessories,Pre-1960s|1960s-70s|1980s-90s,no,Sells only,,,"Deadstock specialist: never-worn garments from decades past, kept in near-museum condition.",no,
Lost City Arts,18 Cooper Sq,East Village,40.7281,-73.9911,Home & furniture,3,Furniture|Art|Housewares,1960s-70s|1980s-90s,no,Sells only,,https://lostcityarts.com,"Twentieth-century design: industrial lighting, mid-century seating, salvaged signage and architectural pieces.",no,
White Trash NYC,304 E 5th St,East Village,40.7265,-73.9870,Home & furniture,2,Furniture|Housewares|Art,1960s-70s|1980s-90s,no,Sells only,,,"Mid-century furniture and oddball housewares crammed into a narrow storefront.",no,"Verify still open"
Good Records NYC,218 E 5th St,East Village,40.7272,-73.9893,Books & records,2,Records,Mixed,no,Buys from public,,,"Used vinyl with a careful jazz, soul and reissue selection; buys collections.",no,
A1 Record Shop,439 E 6th St,East Village,40.7252,-73.9838,Books & records,2,Records,Mixed,no,Buys from public,,,"Crate-digger's shop - dance, hip-hop, disco and house, plus dollar bins by the door.",no,
Gimme Gimme Records,325 E 5th St,East Village,40.7263,-73.9868,Books & records,2,Records,Mixed,no,Buys from public,,,"Used rock, punk and reggae vinyl in a small, well-priced room.",no,
East Village Books,99 St Marks Pl,East Village,40.7277,-73.9847,Books & records,1,Books|Records,Mixed,no,Buys from public,,,"Secondhand books spilling onto the sidewalk; cheap paperbacks and a decent art and poetry section.",no,
Mast Books,72 Avenue A,East Village,40.7243,-73.9843,Books & records,2,Books|Art,Mixed,no,Buys from public,,https://mastbooks.com,"Used and out-of-print art, photography and design books, selected with an editor's eye.",no,
Alabaster Bookshop,122 Fourth Ave,East Village,40.7322,-73.9899,Books & records,2,Books,Mixed,no,Buys from public,,,"The last survivor of Book Row - used and rare titles on Fourth Avenue.",no,
Strand Book Store,828 Broadway,Union Square,40.7331,-73.9909,Books & records,2,Books|Art,Mixed,no,Buys from public,,https://strandbooks.com,"Eighteen miles of books, a large used and review-copy trade, and a buying desk that takes your old ones.",no,"Just outside the LES/EV line - included as a boundary case"
Codex Books,1 Bleecker St,NoHo,40.7256,-73.9922,Books & records,2,Books,Mixed,no,Buys from public,,,"Small, sharply selected used and rare bookshop at the top of the Bowery.",no,
David Owens Vintage,154 Orchard St,Lower East Side,40.7208,-73.9887,Archive & designer,3,Clothing|Accessories,Pre-1960s|1960s-70s,no,Sells only,,,"Decades-deep Orchard Street vintage with real depth in early denim, workwear and military.",no,
Edith Machinist,104 Rivington St,Lower East Side,40.7202,-73.9873,Vintage boutique,3,Clothing|Accessories|Jewelry,Pre-1960s|1960s-70s|1980s-90s,no,Sells only,,,"Curated womenswear vintage - slips, boots, bags - with a soft, well-edited feel.",no,
Procell,5 Delancey St,Lower East Side,40.7203,-73.9932,Archive & designer,3,Clothing,1980s-90s|1990s-Y2K,no,Sells only,,,"Archive graphic tees and band shirts at collector prices. As much reference library as shop.",no,
Marmalade Vintage,174 Rivington St,Lower East Side,40.7197,-73.9843,Vintage boutique,2,Clothing|Accessories,1960s-70s|1980s-90s|1990s-Y2K,no,Sells only,,,"Affordable general vintage with a party-clothes streak.",no,"Address needs confirming"
Sweet Pickle Books,47 Orchard St,Lower East Side,40.7168,-73.9911,Books & records,1,Books,Mixed,no,Buys from public,,https://sweetpicklebooks.com,"Used books and house-made pickles - trade a jar for a book. Genuinely one of the odder reuse economies in the city.",no,
Bluestockings Cooperative,116 Suffolk St,Lower East Side,40.7200,-73.9857,Books & records,2,Books,Mixed,yes,Sells only,,https://bluestockings.com,"Worker-owned radical bookstore and cafe; new and used titles, plus free community programming.",no,
James Veloria,75 E Broadway,Chinatown,40.7136,-73.9944,Archive & designer,3,Clothing|Accessories,1980s-90s|1990s-Y2K,no,Sells only,,,"Upstairs in the Elizabeth Center mall - tightly curated designer vintage, strong on 90s Japanese and European labels.",no,
Downtown Music Gallery,13 Monroe St,Two Bridges,40.7124,-73.9932,Books & records,2,Records,Mixed,no,Buys from public,,https://downtownmusicgallery.com,"Avant-garde, jazz and experimental records, new and used, in a basement under the Manhattan Bridge.",no,
Hester Street Fair,Hester St at Essex St,Lower East Side,40.7157,-73.9887,Flea & market,1,Clothing|Housewares|Jewelry|Art,Mixed,no,Sells only,Seasonal weekends,https://hesterstreetfair.com,"Open-air weekend market with rotating vintage and secondhand vendors. Seasonal - check before you go.",no,"Seasonal; confirm current season dates"
Housing Works Bookstore Cafe,126 Crosby St,NoLIta,40.7247,-73.9962,Thrift & charity,1,Books|Records,Mixed,yes,Sells only,,https://www.housingworks.org/bookstore,"All-donated books and records; every dollar funds Housing Works' services for New Yorkers living with HIV/AIDS and homelessness.",no,
INA NY,21 Prince St,NoLIta,40.7233,-73.9946,Consignment,3,Clothing|Accessories,1990s-Y2K|Y2K-2010s,no,Consignment,,,"Long-standing designer consignment; takes in-season pieces from the public and resells them.",no,"Confirm this location is still open"
